Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
143B,MTT,Au,4,200,36.126,24.6,-4.65
143B,MTT,Au,4,400,22.253,24.6,-33.33
143B,MTT,Au,4,500,19.643,24.6,-31.3
143B,MTT,Au,72,1,91.262,24.6,-16.95
143B,MTT,Au,72,3,87.5,24.6,29.45
143B,MTT,Au,72,10,81.553,24.6,-20.165
143B,MTT,Au,72,30,52.306,24.6,-37.9
143B,MTT,Au,72,100,30.097,24.6,-5.85
143B,MTT,Au,72,1,108.01,24.6,-7.455
143B,MTT,Au,72,3,107.14,24.6,-7.455
143B,MTT,Au,72,10,106.26,24.6,-7.455
143B,MTT,Au,72,30,94.072,24.6,-20.665
143B,MTT,Au,72,100,64.764,24.6,-25
143B,MTT,Au,24,0.5,88.021,24.6,24.3
143B,MTT,Au,24,5,85.069,24.6,31.49
143B,NRU,Au,24,50,55.556,24.6,37.28
143B,NRU,Au,24,500,12.5,24.6,-30.62
143B,NRU,Au,24,0.5,97.049,24.6,-17.1
143B,NRU,Au,24,5,94.444,24.6,-19.285
143B,NRU,Au,24,50,92.014,24.6,-8.72
143B,NRU,Au,24,500,5.9028,24.6,-30.62
143B,NRU,Au,48,0.5,83.505,24.6,-23.1
143B,NRU,Au,48,5,69.931,24.6,-43.29
143B,NRU,Au,48,50,49.485,24.6,-40.5
143B,NRU,Au,48,0.5,99.485,24.6,-13.56
143B,NRU,Au,48,5,89.519,24.6,-17.1
143B,NRU,Au,48,50,85.911,24.6,-8.72
143B,NRU,Au,48,500,3.9519,25,-30.62
143B,NRU,Au,72,0.5,82.847,25,-4.58
143B,NRU,Au,72,5,59.691,25,-24.5
16HBE,CCK-8,SiO2,24,10.93,84.667,25,20.02
16HBE,CCK-8,SiO2,24,21.87,74.933,25,20.02
16HBE,CCK-8,SiO2,24,43.75,75.467,25,20.02
16HBE,CCK-8,SiO2,24,87.5,67.733,25,20.02
16HBE,CCK-8,SiO2,24,175,66.8,25,20.02
16HBE,CCK-8,SiO2,24,1,96.943,25,71.7
16HBE,CCK-8,SiO2,6,0.8,99.051,25.76,71.7
16HBE,CCK-8,SiO2,6,4,94.146,25.76,71.7
16HBE,CCK-8,SiO2,6,8,103.16,25.76,71.7
16HBE,CCK-8,SiO2,6,14,93.513,25.76,71.7
16HBE,CCK-8,SiO2,6,20,75.949,26,71.7
3T3-L1,MTT,MgO,48,200,77.962,30,-8
3T3-L1,MTT,MgO,48,400,55.924,30,-8
3T3-L1,MTT,MgO,72,25,90.047,30,-8
3T3-L1,MTT,MgO,72,50,87.441,30,-8
3T3-L1,MTT,MgO,72,100,77.962,30,-8
3T3-L1,MTT,MgO,72,200,68.483,30,-8
3T3-L1,MTT,MgO,72,400,43.365,30,-8
3T3-L1,MTT,MgO,24,25,98.832,30,-8
3T3-L1,MTT,MgO,24,50,90.888,30,-8
3T3-L1,MTT,MgO,24,100,89.486,30,-8
3T3-L1,MTT,MgO,24,200,79.907,30,-8
3T3-L1,MTT,MgO,24,400,54.206,30,-8
3T3-L1,MTT,MgO,48,25,96.262,30,-8
3T3-L1,MTT,MgO,48,50,89.486,30,-8
3T3-L1,MTT,MgO,48,100,84.112,30,-8
95D,CCK-8,Au,12,0.1,100,30.29,69.8
95D,CCK-8,Au,12,1,97.03,30.29,69.8
95D,CCK-8,Au,12,5,93.399,30.29,69.8
95D,CCK-8,Au,12,10,93.399,30.29,69.8
95D,CCK-8,Au,12,20,92.739,30.29,69.8
95D,CCK-8,Au,12,50,86.799,30.29,69.8
95D,CCK-8,Au,12,100,73.597,30.29,69.8
95D,CCK-8,Au,12,0.001,96.37,30.29,8.67
95D,CCK-8,Au,12,0.01,95.05,30.29,8.67
95D,CCK-8,Au,12,0.1,97.69,30.29,8.67
95D,CCK-8,Au,12,1,99.67,30.29,8.67
95D,CCK-8,Au,12,5,95.38,30.6,8.67
A2780,MTT,SiO2,72,200,86.961,25,-31.8
A2780,MTT,SiO2,24,10,75,25,70.76
A2780,MTT,SiO2,24,25,66,25,70.76
A2780,MTT,SiO2,24,50,48,25,70.76
A2780,MTT,SiO2,24,10,85,25,70.76
A2780,MTT,SiO2,24,25,69,25,70.76
A2780,MTT,SiO2,24,50,46,25,70.76
A2780,MTT,SiO2,48,1.78,78.035,25,-20
A431,MTT,TiO2,24,10,80.945,5,-23.5
A431,MTT,TiO2,24,50,80.945,5,-23.5
A431,MTT,TiO2,24,100,79.316,5,-23.5
A431,MTT,TiO2,24,0.5,96.743,5,-27.7
A431,MTT,TiO2,24,1,82.573,5,-27.7
A431,MTT,TiO2,24,5,76.873,5,-27.7
A431,MTT,TiO2,24,10,76.873,5,-27.7
A431,MTT,TiO2,24,50,91.205,5,-27.7
A431,MTT,TiO2,24,100,91.205,5.2,-27.7
A431,MTT,TiO2,72,0.036,80.385,5.2,15.05
A431,MTT,TiO2,72,0.072,72.957,5.2,-23.415
A431,MTT,TiO2,72,0.18,56.616,5.2,28.1
A431,MTT,TiO2,72,0.36,49.684,5.2,-36.5
A431,MTT,TiO2,72,0.72,42.256,5.2,-36.5
A431,MTT,TiO2,72,1,42.586,5.2,-36.5
A431,NRU,TiO2,72,0.036,108.98,5.2,-7.455
A431,NRU,TiO2,72,0.072,106.23,5.5,5.635
A431,NRU,TiO2,72,0.18,102.5,6,-9.6
A431,NRU,TiO2,72,0.36,90.126,6,37.85
A431,NRU,TiO2,72,0.72,63.619,6,28.4
A431,NRU,TiO2,72,1,47.518,6,-36.5
A431,NRU,TiO2,72,0.036,101.35,6,28.4
A431,NRU,TiO2,72,0.072,91.689,6,5.5
A431,NRU,TiO2,72,0.18,67.636,6,-4.55
A431,NRU,TiO2,72,0.36,41.527,6,-36.5
A431,NRU,TiO2,72,0.72,27.959,6,-10.33
A431,NRU,TiO2,72,1,28.37,6,-10.33
A431,NRU,TiO2,72,25,88.973,6,-25
A431,NRU,TiO2,72,50,76.933,6,-25
A431,NRU,TiO2,72,100,59.949,6,-25
A431,MTT,SiO2,24,10,108.05,7,-38.1
A431,MTT,SiO2,24,50,54.146,7.5,-38.1
A431,MTT,SiO2,24,100,49.512,7.5,-38.1
A431,MTT,SiO2,24,200,42.683,7.5,-38.1
A549,MTT,Fe3O4,24,100,84.114,4.7,-27.7
A549,MTT,Fe3O4,48,0.5,105.22,4.7,-39.55
A549,MTT,Fe3O4,48,1,96.9,4.7,-17.1
A549,NRU,Fe3O4,48,5,94.29,4.8,-17.1
A549,NRU,Fe3O4,48,10,89.886,4.8,-15.91
A549,NRU,Fe3O4,48,50,86.949,4.8,-8.72
A549,MTT,SiO2,24,500,5.122,7.5,-38.1
A549,MTT,SiO2,24,10,53.902,7.5,-31.7
A549,MTT,SiO2,24,50,44.878,7.5,-31.7
A549,MTT,SiO2,24,100,34.878,7.5,-31.7
A549,MTT,SiO2,72,10,64.138,9,-36.3
A549,MTT,SiO2,72,50,55.172,9,-36.3
A549,MTT,SiO2,72,100,54.023,9,-36.3
A549,MTT,SiO2,72,200,51.264,9,-36.3
A549,MTT,SiO2,72,500,51.034,9,-36.3
A549,MTT,SiO2,6,20,99.06,9,-11
A549,MTT,SiO2,6,60,96.9,9,-11
A549,MTT,SiO2,6,180,98.5,9,-11
A549,MTT,SiO2,6,360,88.5,9,-11
A549,MTT,SiO2,24,20,95,9,-11
A549,MTT,SiO2,24,60,91,9,-11
A549,MTT,SiO2,24,180,83.9,9,-11
A549,MTT,SiO2,24,360,70.5,9,-11
A549,MTT,SiO2,48,20,90,9,-11
A549,MTT,SiO2,48,60,86,9,-11
A549,MTT,SiO2,48,180,68.25,9,-11
A549,MTT,SiO2,48,360,54.15,9,-11
A549,MTT,SiO2,6,20,97.666,9,-11
A549,MTT,SiO2,6,60,98.423,9,-11
A549,MTT,SiO2,6,180,93.205,9,-11
A549,MTT,SiO2,6,360,90.852,9,-11
A549,MTT,SiO2,24,20,91.798,9,-11
A549,MTT,SiO2,24,60,89.148,9,-11
A549,MTT,SiO2,24,180,86.877,9,-11
A549,MTT,SiO2,24,360,78.17,10,-11
A549,MTT,SiO2,48,20,93.691,10,-11
A549,MTT,SiO2,48,60,80.631,10,-11
A549,MTT,SiO2,48,180,73.628,10,-11
A549,MTT,SiO2,48,360,58.297,10,-11
A549,MTT,SiO2,24,2.5,95,10,-17.1
A549,MTT,SiO2,24,5,78.548,10,24.3
A549,MTT,SiO2,24,10,60.645,10,71.7
A549,MTT,SiO2,24,20,37.903,10,25.67
A549,MTT,SiO2,24,40,35.968,10,71.7
A549,MTT,SiO2,24,50,30.968,10,-20.36
A549,MTT,SiO2,48,2.5,90,10,-17.1
A549,MTT,SiO2,48,5,70,10,-43.29
A549,MTT,SiO2,48,10,49.194,10,60.01
A549,MTT,SiO2,48,20,36.29,10,-23.79
A549,MTT,SiO2,48,40,26.935,10,-43.29
A549,CCK-8,Au,48,15,72.134,12.5,-8.23
A549,CCK-8,Au,48,20,56.719,12.5,-8.23
A549,CCK-8,Au,48,25,10.079,13,-8.23
A549,CCK-8,Au,48,30,9.0909,13,-8.23
A549,CCK-8,Au,48,35,7.9051,13,-8.23
A549,CCK-8,Au,48,40,7.9051,13,-8.23
A549,MTT,TiO2,24,400,60.805,20,-12.4
A549,MTT,TiO2,24,1,103.7,20,-56.9
A549,MTT,TiO2,24,5,98.413,20,-56.9
A549,MTT,TiO2,24,10,85.185,20,-56.9
A549,MTT,TiO2,24,25,74.074,20,-56.9
A549,MTT,TiO2,24,50,41.799,20,-56.9
A549,MTT,TiO2,24,75,16.931,20,-56.9
A549,MTT,TiO2,24,100,18.519,20,-56.9
A549,MTT,TiO2,24,1,103.17,20,-50.9
A549,MTT,TiO2,24,5,77.249,20,-50.9
A549,MTT,TiO2,24,10,50.794,20,-50.9
A549,MTT,TiO2,24,25,23.81,20,-50.9
A549,MTT,TiO2,24,50,20.106,20,-50.9
A549,MTT,TiO2,24,75,16.931,20,-50.9
A549,MTT,TiO2,24,100,16.931,20,-50.9
A549,MTT,TiO2,24,1,105.29,20,-46.8
A549,MTT,TiO2,24,5,102.65,20,-46.8
A549,MTT,TiO2,24,10,104.23,20,-46.8
A549,MTT,TiO2,24,25,96.825,20,-46.8
A549,MTT,TiO2,24,50,90.476,20,-46.8
A549,MTT,TiO2,24,100,87.831,20,-46.8
A549,MTT,TiO2,24,300,69.312,20,-46.8
A549,MTT,TiO2,24,1,106.35,20,-58
A549,MTT,TiO2,24,5,109.52,20,-58
A549,MTT,TiO2,24,10,106.88,20,-58
A549,MTT,TiO2,24,25,102.12,20,-58
A549,MTT,TiO2,24,50,92.063,20,-58
A549,MTT,TiO2,24,100,95.238,20,-58
A549,MTT,TiO2,24,300,95.238,20,-58
A549,MTT,TiO2,24,0.3,84.876,20,-23.1
A549,MTT,TiO2,24,0.6,82.008,20,-23.1
A549,MTT,TiO2,24,1.2,79.27,20,24.3
A549,MTT,TiO2,24,2.5,75.88,20,-20.75
A549,MTT,Au,96,100,86.892,21.55,-5.21
A549,MTT,Au,96,200,83.378,21.55,-5.21
A549,MTT,Au,96,500,82.973,21.55,-5.21
A549,MTT,Au,96,50,96.138,21.55,-28.7
A549,MTT,Au,96,100,90.013,21.55,-28.7
A549,MTT,Au,96,200,90.679,21.6,-28.7
A549,MTT,Au,96,500,82.157,21.6,-28.7
A549,MTT,Au,24,200,55.577,21.6,54.3
A549,CellTiterBlue,CuO,48,500,2.3729,25,-31.7
A549,CellTiterBlue,CuO,72,0.5,77.108,25,-31.7
A549,CellTiterBlue,CuO,72,5,75.559,25,-31.7
A549,CellTiterBlue,CuO,72,50,55.25,25,-31.7
A549,CellTiterBlue,CuO,72,0.5,91.05,25,28.8
A549,CellTiterBlue,CuO,72,5,91.91,25,28.8
A549,CellTiterBlue,CuO,72,50,91.566,25,-16.955
A549,CellTiterBlue,CuO,72,500,11.876,25,-34.9
A549,CellTiterBlue,CuO,24,5,98.864,25,-13.665
A549,CellTiterBlue,CuO,24,10,100,25,-7.65
A549,CellTiterBlue,CuO,24,50,91.136,25,-31.5
A549,CellTiterBlue,CuO,24,5,100,25,-24.66
A549,MTT,SiO2,24,200,94.917,25,-31.8
A549,MTT,SiO2,48,200,53.37,25,31.02
A549,MTT,SiO2,48,200,22.32,25,-33.33
A549,MTT,SiO2,48,200,73.481,25,58.51
A549,MTT,SiO2,48,200,89.945,25,-31.8
A549,MTT,SiO2,72,200,48.066,25,-24.5
A549,MTT,SiO2,72,200,20.994,25,-35.715
A549,MTT,SiO2,72,200,70.718,25,3.61
A549,CCK-8,SiO2,24,50,105.86,25,20.02
A549,CCK-8,SiO2,24,100,103.06,25,20.02
A549,CCK-8,SiO2,24,200,104.97,25,20.02
A549,CCK-8,SiO2,24,400,100,25,20.02
A549,CCK-8,SiO2,24,800,96.943,25,20.02
A549,CCK-8,SiO2,24,5.46,82.4,25,20.02
A549,CCK-8,SiO2,24,2.5,98.69,25,71.7
A549,CCK-8,SiO2,24,5,101.16,25,71.7
A549,CCK-8,SiO2,24,10,89.52,25.76,71.7
A549,CCK-8,SiO2,24,25,63.901,25.76,71.7
A549,CCK-8,SiO2,24,50,59.971,25.76,71.7
A549,MTT,CuO,72,12.5,98.377,29.57,-4.58
A549,MTT,CuO,72,1.67,102.43,29.57,-12.32
A549,MTT,CuO,72,2.5,102.43,29.57,-12.32
A549,NRU,CuO,72,5,102.03,29.57,-12.32
A549,NRU,CuO,72,6.25,98.377,29.57,-12.32
A549,NRU,CuO,72,12.5,96.349,29.57,-12.32
A549,MTT,CuO,72,6.25,91.569,29.57,-4.58
A549,MTT,CuO,72,12.5,94.706,29.57,-4.58
A549,MTT,CuO,72,1.67,99.216,29.57,-12.32
A549,MTS,CuO,24,50,99.758,29.57,12.22
A549,MTS,CuO,24,50,102.17,29.57,-27.52
A549,MTS,CuO,24,50,107.97,29.57,3.51
A549,MTS,CuO,24,50,113.53,29.57,-10.14
A549,MTS,CuO,48,50,85.99,29.57,-8
A549,MTS,CuO,48,50,102.17,29.57,-8
A549,MTS,CuO,48,50,105.31,29.57,31.38
A549,MTS,CuO,48,50,112.56,29.57,-8.72
A549,MTS,CuO,72,50,70.29,29.57,-16.5
A549,MTS,CuO,72,50,100.97,29.57,-8
A549,CCK-8,ZnO,72,50,99.523,29.57,-8
A549,CCK-8,ZnO,72,50,103.1,29.57,-8
A549,CCK-8,ZnO,72,50,105.49,29.57,-31.8
A549,CCK-8,ZnO,24,25,92.269,29.57,-30
A549,CCK-8,ZnO,24,50,81.345,29.57,-30
A549,CCK-8,ZnO,24,100,76.975,29.57,-30
A549,CCK-8,Au,48,12.5,105.38,30.09,-0.52
A549,CCK-8,Au,48,25,91.466,30.09,-0.52
A549,CCK-8,Au,48,50,77.922,30.09,-0.52
A549,CCK-8,Au,48,100,56.215,30.09,-0.52
A549,CCK-8,Au,48,3.125,98.33,30.15,-0.52
A549,CCK-8,Au,48,6.25,99.629,30.15,-0.52
A549,CCK-8,Au,48,12.5,100,30.15,-0.52
A549,CCK-8,Au,48,25,98.887,30.15,-0.52
A549,CCK-8,Au,48,50,82.56,30.29,-0.52
A549,CCK-8,Au,48,100,66.605,30.29,-0.52
A549,CCK-8,Au,12,0.001,97.03,30.29,69.8
A549,CCK-8,Au,12,0.01,100,30.29,69.8
A549,MTT,Ag,12,10,96.37,30.6,8.67
A549,MTT,Ag,12,20,94.719,30.6,8.67
A549,MTT,Ag,12,50,97.03,30.6,8.67
A549,MTT,Ag,12,100,91.749,30.6,8.67
A549,MTT,Ag,12,0.001,98.02,30.6,70.76
A549,MTT,Ag,12,0.01,95.71,30.6,70.76
A549,MTT,Ag,12,0.1,96.04,30.6,70.76
A549,MTT,Ag,12,1,99.01,30.6,70.76
A549,MTT,TiO2,24,10,85.246,33.69,69.8
A549,MTT,TiO2,24,20,82.295,33.69,69.8
A549,MTT,TiO2,24,50,72.131,33.69,69.8
A549,MTT,TiO2,24,100,62.623,33.69,69.8
A549,MTT,TiO2,24,0.001,92.459,33.69,8.67
A549,MTT,Ni,24,0.01,96.066,33.69,8.67
A549,MTT,Ni,24,0.1,93.77,33.69,8.67
A549,MTT,Ni,24,1,97.377,33.69,8.67
A549,MTT,Ni,24,5,94.426,34.64,8.67
A549,MTT,Ni,24,10,95.738,34.64,8.67
A549,MTT,Ni,24,20,91.803,34.64,8.67
A549,MTT,Ni,24,50,91.803,34.64,8.67
A549,MTT,Ni,24,100,82.295,34.64,8.67
A549,MTT,Ni,24,0.001,95.738,34.64,70.76
A549,MTT,Ni,24,0.01,99.672,34.64,70.76
A549,MTT,ZrO2,24,36,79.854,53.7,-25.3
A549,MTT,ZrO2,24,72,77.913,54.86,-25.3
A549,MTT,ZrO2,24,144,73.058,55.6,-25.3
A549,MTT,ZrO2,6,0.1,88.923,55.6,60.48
A549,Live/Dead,ZrO2,24,100,72.152,56.7,-4.115
A549,Live/Dead,ZrO2,48,0.1,74.348,56.7,14.63
A549,Live/Dead,ZrO2,48,1,76.377,56.7,14.63
A549,Live/Dead,ZrO2,48,10,71.594,56.7,3.4
A549,MTS,Ag,6,1,78.775,61.06,19.95
A549,MTS,Ag,6,10,61.681,61.06,51.55
A549,MTS,Ag,6,50,55.84,61.06,15.13
A549,MTS,Ag,6,100,48.86,61.06,-40.5
A549,MTS,Ag,24,100,38.787,61.06,-40.5
A549,MTS,Ag,48,0.1,47.458,61.06,-27.45
A549,MTS,Ag,48,1,52.542,61.06,-36.5
A549,MTS,Ag,48,10,62.994,61.46,-39.895
A549,MTS,Ag,6,10,94.302,61.46,49.26
A549,MTS,Ag,6,50,95.726,61.46,49.26
A549,MTS,Ag,6,100,86.61,61.46,49.26
A549,MTS,Ag,24,0.1,49.647,61.46,49.26
A549,MTS,Ag,48,0.1,51.13,61.46,49.26
A549,MTS,Ag,48,1,52.119,61.46,49.26
A549,MTS,Ag,48,10,48.87,61.46,49.26
A549,MTS,Ag,48,50,43.644,61.46,49.26
A549,MTS,Ag,4,50,41.765,61.46,28.8
A549,MTS,Ag,4,100,26.482,61.46,18.2
A549,MTS,Ag,4,200,11.726,63.6,-12.25
A549,MTS,Ag,24,6,51.779,65,-33.23
A549,MTS,Ag,24,200,18.05,65,12.8
A549,MTS,Ag,4,6,88.921,65,17.65
A549,MTS,Ag,4,12.5,73.381,65,25.2
A549,MTS,Ag,4,25,58.417,65,4.95
A549,MTS,Ag,24,12.5,64.604,65,17.5
A549,MTS,Ag,24,25,53.669,65,45.12
A549,MTS,Ag,24,50,43.309,65,-32.81
A549,MTS,Ag,24,100,4.6043,65,21.3
A549,MTS,Ag,4,50,40.459,65,28.8
A549,MTS,Ag,4,100,24.534,65,-19.25
A549,MTS,Ag,4,200,8.4648,65,18.2
A549,MTS,Ag,24,6,70.588,65.17,61.44
A549,MTS,Ag,24,200,13.056,65.17,-5.865
A549,MTS,Ag,4,6,103.13,65.17,13.15
A549,MTS,Ag,4,12.5,85.755,65.17,-23.05
A549,MTS,Ag,4,25,65.67,65.17,-0.315
A549,MTS,C,48,1000,22.939,120,-33.33
A549,MTS,C,72,25,92.115,120,-33.33
A549,MTS,C,72,50,46.595,120,-33.33
A549,MTS,C,72,100,25.448,120,-33.33
A549,MTS,C,72,200,20.43,120,-33.33
A549,MTS,C,72,400,18.996,120,-33.33
A549,MTS,C,72,600,20.43,120,-33.33
A549,MTS,C,72,800,21.505,120,-33.33
A549,MTS,C,72,1000,22.939,120,-33.33
A549,MTS,C,24,20,86.111,120,-33.33
A549,MTS,C,24,40,71.759,120,-33.33
A549,MTS,C,24,60,67.284,120,-33.33
A549,MTS,C,24,80,66.358,120,-33.33
A549,MTS,C,24,100,61.265,120,-33.33
A549,MTS,C,24,150,53.395,120,-33.33
A549,MTS,C,24,200,49.846,120,-33.33
A549,MTS,C,24,250,43.519,120,-33.33
A549,MTS,C,48,20,48.92,120,-33.33
A549,MTS,C,48,40,45.833,120,-33.33
A549,MTS,C,48,60,33.642,120,-33.33
A549,MTS,C,48,80,30.864,120,-33.33
A549,MTS,C,48,100,29.167,120,-33.33
A549,MTS,C,48,150,26.389,120,-33.33
A549,MTS,C,48,200,27.623,120,-33.33
A549,MTT,Fe3O4,24,1,81.774,234.8,61.44
A549,MTT,Fe3O4,24,6.25,67.672,239,61.44
A549,MTT,Fe3O4,24,10,57.295,239,61.44
A549,MTT,Fe3O4,24,25,52.639,239,61.44
A549,MTT,Fe3O4,24,50,48.248,239,61.44
A549,MTT,Fe3O4,24,75,37.206,239,61.44
A549,MTT,Fe3O4,24,100,29.357,239,61.44
A549,MTT,Fe3O4,24,1,83.636,239,61.44
A549,MTT,Fe3O4,24,6.25,70.333,239,61.44
A549,MTT,Fe3O4,24,10,67.672,239,61.44
A549,MTT,Fe3O4,24,25,60.355,239,61.44
A549,MTT,Fe3O4,24,50,57.029,239,61.44
A549,MTT,Fe3O4,24,75,56.098,239,61.44
A549,MTT,Fe3O4,24,100,49.978,239,61.44
A549,MTT,Fe3O4,24,1,75.122,239,61.44
A549,MTT,Fe3O4,24,6.25,73.126,239,61.44
A549,MTT,Fe3O4,24,10,70.2,239,61.44
A549,MTT,Fe3O4,24,25,69.8,239,61.44
A549,MTT,ZnO,24,1,84.33,267,61.44
A549,MTT,ZnO,24,6.25,77.01,267,61.44
A549,MTT,ZnO,24,10,81.031,267,61.44
A549,MTT,ZnO,24,12.5,82.474,267,61.44
A549,MTT,ZnO,24,25,71.856,267,61.44
A549,MTT,ZnO,24,50,65.876,267,61.44
A549,MTT,ZnO,24,75,58.144,267,61.44
A549,MTT,ZnO,24,100,46.701,267,61.44
A549,MTT,ZnO,24,1,78.866,267,61.44
A549,MTT,ZnO,24,6.25,70.412,267,61.44
A549,CCK-8,CuO,24,100,96.025,289.76,-5.3
A549,CCK-8,CuO,24,300,91.423,289.76,-0.4
A549,CCK-8,CuO,24,300,100.35,289.76,-5.7
A549,CCK-8,CuO,24,300,98.047,289.76,-5.3
A549,CCK-8,CuO,24,10,98.467,289.76,-0.4
A549,CCK-8,CuO,24,10,104.89,289.76,-5.7
A549,CCK-8,CuO,24,10,104.89,289.76,-5.3
A549,CCK-8,CuO,24,30,101.15,289.76,-0.4
A549,CCK-8,CuO,24,30,91.667,289.76,-5.7
A549,CCK-8,CuO,24,30,110.82,289.76,-5.3
A549,CCK-8,CuO,24,100,111.49,289.76,-0.4
A549,CCK-8,CuO,24,100,105.75,289.76,-5.7
A549,CCK-8,CuO,24,100,115.9,289.76,-5.3
A549,CCK-8,CuO,24,300,120.98,301.85,-0.4
A549,CCK-8,CuO,24,300,115.9,301.85,-5.7
A549,CCK-8,CuO,24,300,108.62,302.75,-5.3
A549,MTT,Bi2O3,24,10,97.92,504.5,-13.2
A549,MTT,Bi2O3,24,100,99.36,504.5,-13.2
A549,MTT,Bi2O3,24,0,100,504.5,-10.7
A549,MTT,Bi2O3,24,20,90,504.5,-10.7
A549,MTT,Bi2O3,24,40,122.2222,504.5,-10.7
A549,MTT,Bi2O3,24,60,111.1111,504.5,-10.7
A549,MTT,Bi2O3,24,80,127.7778,504.5,-10.7
A549,NRU,Bi2O3,24,100,93.3333,546,-10.7
A549,NRU,Bi2O3,24,120,90.1695,549,-10.7
A549,NRU,Bi2O3,24,150,98.8701,550.15,-10.7
A549,NRU,Bi2O3,6,0,100,552,-10.7
A549,NRU,Bi2O3,6,20,90.1695,557.5,-10.7
A549,NRU,Bi2O3,6,40,103.6158,578.27,-10.7
A549,NRU,Bi2O3,6,60,88.5876,578.27,-10.7
A549,NRU,Bi2O3,6,80,96.4972,578.27,-10.7
A549,NRU,Fe3O4,48,5,94.29,4.8,-17.1
AGS,MTS,TiO2,24,20,68.48,29.57,71.7
AGS,MTS,TiO2,24,40,40.525,29.57,71.7
AGS,MTS,TiO2,24,80,38.837,29.57,71.7
AGS,MTS,TiO2,24,100,36.21,29.57,71.7
AGS,MTS,TiO2,24,2.5,93.996,29.57,71.7
AGS,MTS,TiO2,24,5,90.619,29.57,71.7
AGS,MTS,TiO2,24,10,85.741,29.57,71.7
AGS,MTS,TiO2,24,20,67.167,29.57,71.7
AGS,MTS,TiO2,24,40,40.901,29.57,71.7
AGS,MTS,TiO2,24,80,33.021,29.57,71.7
AGS,MTS,TiO2,24,100,34.522,29.57,71.7
AGS,MTS,TiO2,24,2.5,90.807,29.57,71.7
AGS,MTS,TiO2,24,5,83.677,29.57,71.7
AGS,MTS,TiO2,24,10,79.362,29.57,71.7
AGS,MTS,TiO2,24,20,67.73,29.57,71.7
AGS,MTS,TiO2,24,40,36.023,29.57,71.7
AGS,MTS,TiO2,24,80,29.268,29.57,71.7
AGS,MTS,TiO2,24,100,24.578,29.57,71.7
AGS,MTS,TiO2,24,50,92,29.57,-8.72
AGS,MTS,TiO2,24,100,85.4,29.57,-8.72
AGS,MTS,TiO2,24,200,66.4,29.57,-8.72
AGS,MTS,TiO2,48,50,85.2,29.57,-8.72
AGS,MTS,TiO2,48,100,69.1,29.57,-8.72
AGS,MTS,TiO2,48,200,44.8,29.57,-8.72
AGS,MTS,TiO2,72,50,79.1,29.57,-8.72
AGS,MTS,TiO2,72,100,63.3,29.57,-8.72
AGS,MTS,TiO2,72,200,32.7,29.57,-8.72
AGS,MTS,TiO2,24,1,104.88,29.57,-8.72
AGS,MTS,TiO2,24,2.5,101.8,29.57,-8.72
AGS,MTS,TiO2,24,5,101.8,29.57,-8.72
AGS,MTS,TiO2,24,10,105.66,29.57,-8.72
AGS,MTS,TiO2,24,50,91.517,29.57,-8.72
AGS,MTS,TiO2,24,1,94.962,29.57,-32.68
AGS,MTS,TiO2,24,2,73.056,29.57,-23.3
AGS,MTS,TiO2,24,5,56.079,29.57,50.25
AGS,MTS,TiO2,24,10,38.116,29.57,50.25
AGS,MTS,TiO2,24,25,21.139,29.57,-1.93
AGS,MTS,TiO2,48,1,92.662,30,28.8
AGS,MTS,TiO2,48,2,60.789,30,50.25
AGS,MTS,TiO2,48,5,44.907,30,28.8
AGS,MTS,TiO2,48,10,28.478,30,-1.55
AGS,MTS,TiO2,48,25,12.486,30,49.78
AGS,MTS,TiO2,72,100,63.3,29.57,-8.72
AGS,MTS,TiO2,24,1,94.962,29.57,-32.68
Ana-1,CCK-8,ZnO,12,5,82.838,30.6,70.76
Ana-1,CCK-8,ZnO,12,10,63.366,31.4,70.76
Ana-1,CCK-8,ZnO,12,20,45.215,31.4,70.76
Ana-1,CCK-8,ZnO,12,50,16.172,31.4,70.76
Ana-1,CCK-8,ZnO,12,100,14.191,31.4,70.76
Ana-1,CCK-8,ZnO,12,0.001,95.724,31.4,71.7
Ana-1,CCK-8,ZnO,12,0.01,97.368,33,71.7
Ana-1,CCK-8,ZnO,12,0.1,100.33,33,71.7
Ana-1,CCK-8,ZnO,12,1,98.355,33,71.7
Ana-1,CCK-8,ZnO,12,5,91.776,33,71.7
Ana-1,CCK-8,ZnO,12,10,75,33,71.7
Ana-1,CCK-8,ZnO,12,20,63.816,33,71.7
Ana-1,CCK-8,ZnO,12,50,36.184,33.65,71.7
Ana-1,CCK-8,ZnO,12,100,33.224,33.69,71.7
Ana-1,CCK-8,ZnO,12,0.001,95.066,33.69,49.26
Ana-1,CCK-8,ZnO,12,0.01,95.066,33.69,49.26
Ana-1,CCK-8,ZnO,12,0.1,97.039,33.69,49.26
Ana-1,CCK-8,ZnO,12,1,97.039,33.69,49.26
Ana-1,CCK-8,ZnO,12,5,99.013,33.69,49.26
Ana-1,CCK-8,ZnO,12,10,99.013,33.69,49.26
Ana-1,CCK-8,ZnO,12,20,96.711,33.69,49.26
Ana-1,CCK-8,ZnO,12,50,98.355,33.69,49.26
Ana-1,CCK-8,ZnO,12,100,95.724,33.69,49.26
Ana-1,CCK-8,ZnO,12,0.001,99.013,33.69,49.26
